Epoch 121, RMSE: 0.6178897557383781, R^2: 0.6182, MSE: 0.3817877502464326
Epoch 122, RMSE: 0.6176881161751792, R^2: 0.6185, MSE: 0.3815386088640416
Epoch 123, RMSE: 0.6174901724620968, R^2: 0.6187, MSE: 0.38129411308727
Epoch 124, RMSE: 0.617295819285645, R^2: 0.6189, MSE: 0.38105412850753567
Epoch 125, RMSE: 0.6171049549536853, R^2: 0.6192, MSE: 0.38081852542839006
Epoch 126, RMSE: 0.616917481257768, R^2: 0.6194, MSE: 0.38058717868142855
Epoch 127, RMSE: 0.6167333033411195, R^2: 0.6196, MSE: 0.3803599674500493
Epoch 128, RMSE: 0.6165523295720295, R^2: 0.6199, MSE: 0.38013677510069654
Epoch 129, RMSE: 0.6163744714224021, R^2: 0.6201, MSE: 0.3799174890212456
Epoch 130, RMSE: 0.6161996433512441, R^2: 0.6203, MSE: 0.3797020004662004
Epoch 131, RMSE: 0.6160277626928788, R^2: 0.6205, MSE: 0.3794902044083938
Epoch 132, RMSE: 0.6158587495496786, R^2: 0.6207, MSE: 0.3792819993968937
Epoch 133, RMSE: 0.6156925266891211, R^2: 0.6209, MSE: 0.37907728742083413
Epoch 134, RMSE: 0.6155290194449834, R^2: 0.6211, MSE: 0.37887597377890275
Epoch 135, RMSE: 0.6153681556224947, R^2: 0.6213, MSE: 0.3786779669542309
Epoch 136, RMSE: 0.6152098654072795, R^2: 0.6215, MSE: 0.378483178494443
Epoch 137, RMSE: 0.6150540812779275, R^2: 0.6217, MSE: 0.3782915228966355
Epoch 138, RMSE: 0.6149007379220365, R^2: 0.6219, MSE: 0.37810291749706504
Epoch 139, RMSE: 0.6147497721555797, R^2: 0.6221, MSE: 0.3779172823653371
Epoch 140, RMSE: 0.614601122845457, R^2: 0.6223, MSE: 0.37773454020289654
Epoch 141, RMSE: 0.6144547308350954, R^2: 0.6224, MSE: 0.3775546162456296
Epoch 142, RMSE: 0.6143105388729689, R^2: 0.6226, MSE: 0.37737743817039754
Epoch 143, RMSE: 0.614168491543917, R^2: 0.6228, MSE: 0.3772029360053304
Epoch 144, RMSE: 0.6140285352031413, R^2: 0.6230, MSE: 0.37703104204371535
Epoch 145, RMSE: 0.613890617912772, R^2: 0.6231, MSE: 0.3768616907613251
Epoch 146, RMSE: 0.6137546893808935, R^2: 0.6233, MSE: 0.3766948187370371
Epoch 147, RMSE: 0.6136207009029289, R^2: 0.6235, MSE: 0.37653036457660166
Epoch 148, RMSE: 0.613488605305284, R^2: 0.6236, MSE: 0.37636826883942265
Epoch 149, RMSE: 0.6133583568911605, R^2: 0.6238, MSE: 0.37620847396822416
Epoch 150, RMSE: 0.6132299113884431, R^2: 0.6239, MSE: 0.3760509242214777
Epoch 151, RMSE: 0.6131032258995819, R^2: 0.6241, MSE: 0.3758955656084737
Epoch 152, RMSE: 0.6129782588533833, R^2: 0.6243, MSE: 0.37574234582692545
Epoch 153, RMSE: 0.6128549699586341, R^2: 0.6244, MSE: 0.37559121420299835
Epoch 154, RMSE: 0.6127333201594818, R^2: 0.6246, MSE: 0.37544212163366203
Epoch 155, RMSE: 0.6126132715925025, R^2: 0.6247, MSE: 0.37529502053126923
Epoch 156, RMSE: 0.6124947875453853, R^2: 0.6249, MSE: 0.37514986477026674
Epoch 157, RMSE: 0.6123778324171703, R^2: 0.6250, MSE: 0.3750066096359519
Epoch 158, RMSE: 0.6122623716799743, R^2: 0.6251, MSE: 0.374865211775187
Epoch 159, RMSE: 0.6121483718421491, R^2: 0.6253, MSE: 0.374725629148994
Epoch 160, RMSE: 0.6120358004128097, R^2: 0.6254, MSE: 0.37458782098694865
Epoch 161, RMSE: 0.6119246258676828, R^2: 0.6255, MSE: 0.37445174774330353
Epoch 162, RMSE: 0.6118148176162181, R^2: 0.6257, MSE: 0.37431737105476626
Epoch 163, RMSE: 0.6117063459699171, R^2: 0.6258, MSE: 0.3741846536998679
Epoch 164, RMSE: 0.6115991821118267, R^2: 0.6259, MSE: 0.37405355955985536
Epoch 165, RMSE: 0.6114932980671549, R^2: 0.6261, MSE: 0.37392405358104636
Epoch 166, RMSE: 0.6113886666749628, R^2: 0.6262, MSE: 0.37379610173858885
Epoch 167, RMSE: 0.6112852615608912, R^2: 0.6263, MSE: 0.37366967100156717
Epoch 168, RMSE: 0.6111830571108806, R^2: 0.6265, MSE: 0.37354472929940197
Epoch 169, RMSE: 0.6110820284458469, R^2: 0.6266, MSE: 0.3734212454894909
Epoch 170, RMSE: 0.610982151397275, R^2: 0.6267, MSE: 0.3732991893260426
Epoch 171, RMSE: 0.610883402483694, R^2: 0.6268, MSE: 0.3731785314300549
Epoch 172, RMSE: 0.6107857588880017, R^2: 0.6269, MSE: 0.3730592432603922
Epoch 173, RMSE: 0.6106891984356033, R^2: 0.6271, MSE: 0.3729412970859197
Epoch 174, RMSE: 0.610593699573335, R^2: 0.6272, MSE: 0.37282466595865205
Epoch 175, RMSE: 0.6104992413491407, R^2: 0.6273, MSE: 0.3727093236878763
Epoch 176, RMSE: 0.6104058033924747, R^2: 0.6274, MSE: 0.37259524481521256
Epoch 177, RMSE: 0.6103133658954012, R^2: 0.6275, MSE: 0.3724824045905738
